what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331079634618
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1331079634618
java.specification.name,sysinfo,,,"Java Platform API Specification",1331079634618
java.specification.vendor,sysinfo,,,"Oracle Corporation",1331079634618
java.specification.version,sysinfo,,,"1.7",1331079634618
java.vendor,sysinfo,,,"Oracle Corporation",1331079634618
java.version,sysinfo,,,"1.7.0_02",1331079634618
java.vm.info,sysinfo,,,"mixed mode",1331079634618
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331079634618
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331079634618
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1331079634618
java.vm.specification.version,sysinfo,,,"1.7",1331079634618
java.vm.vendor,sysinfo,,,"Oracle Corporation",1331079634618
java.vm.version,sysinfo,,,"22.0-b10",1331079634618
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1331079634620
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1331079635665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079636616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079669281
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331079670524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079672904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079677589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079681423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079688665
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1331079689754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079692617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079700932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079702543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079705270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079710608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079719656
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331079719959
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331079720043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331079723139
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1331079723580
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1331079728489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1331079733688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079739348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079742368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331079742375
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331079766298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079768750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079771786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1331079771795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079787159
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331079789461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079789522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331079789528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079795719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079799597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079803176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079806571
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331079806647
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331079806726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331079808650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079815416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079823465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079828694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331079843298
