what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403375988
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347403397093
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347403418224
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347403449701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403453091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403453740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403504363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403523770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403524114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403524188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403524555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403529288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1347403533230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1347403534862
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1347403538008
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1347403538175
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1347403538264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1347403540337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1347403541110
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347403543958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1347403566464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347403603985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403606454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403630318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1347403630333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403631947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403634829
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1347403634847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403637378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403882707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403883889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403922570
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347403925136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347403929056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404048306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404049090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1347404049112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404055172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404058845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1347404058868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404076403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347404123929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404127576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404128881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404133442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404172032
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1347404172045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404172846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404193965
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1347404206201
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1347404206264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404206972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1347404206996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404228459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404245573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1347404245595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404298678
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1347404315022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404316402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404317455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404320116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404330658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1347404330668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404331854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404337999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404340957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404372543
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347404372561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404373434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1347404373455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347404384854
