what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350539002829
java.vm.specification.version,sysinfo,,,"1.7",1350539002829
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350539002829
java.vm.version,sysinfo,,,"22.0-b10",1350539002829
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1350539002848
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1350539003922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539004575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539140149
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350539142217
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1350539143086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539145686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539213495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1350539213505
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539214226
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539217480
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539217553
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539217961
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539218038
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539219971
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539220074
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539220871
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539223647
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539223665
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539226344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539240809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539277132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539282769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539479752
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539482477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539486491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539489111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539578745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539580727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539589703
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350539589836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539597063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539616295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539619998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539620952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539629871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539639976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539641694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539683011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539692024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350539735295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350539746607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1350539746629
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1350539749599
