what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545334967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545572319
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350545582850
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350545586584
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350545586713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545602700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545619254
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350545626192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545636956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545755430
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350545760367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545771587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545918109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350545932658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350547087444
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350547117698
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350547126299
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350547128971
